"","AACT1","AACT2","CMK","DPPS1","DPPS2","DPPS3","DXPS1","DXPS2(cla1)","DXPS3","DXR","FPPS1","FPPS2","GGPPS1mt","GGPPS2","GGPPS3","GGPPS4","GGPPS5","GGPPS6","GGPPS8","GGPPS9","GGPPS10","GGPPS11","GGPPS12","GPPS","HDR","HDS","HMGR1","HMGR2","HMGS","IPPI1","IPPI2","MCT","MECPS","MK","MPDC1","MPDC2","PPDS1","PPDS2mt","UPPS1"
"c1",729.4,2226.4,1254.6,104.1,6201.6,8.4,22.8,13517.1,645.2,4714,652.2,3855.7,84.1,66.3,40.8,38.1,72.7,69.1,91.8,2.3,99.5,2061.4,974,1481.1,13244.1,8955,15165.5,515.9,1808.1,4664.4,769.7,1094,2866.6,948.9,1520.1,361.9,4586.3,3350.2,374.7
"c2",1088,2150.8,1188.3,130.2,6820.4,5.8,77.8,13601.1,561,4361.5,443.9,3082,19.7,75.4,30.7,9,55.5,167.7,6.2,36.4,58.5,1626.2,1572.5,1560.4,15591.5,8443.4,16589.3,512,1346,4263,535.1,933.2,3201.8,828.3,1107.2,302.5,4898.3,5103.3,414.5
"c3",273.6,4128.1,843,74.4,5.7,8,9.9,2329.6,1580.8,1417.2,2940.6,3575.4,109.5,50,2.1,32.3,24.9,146.2,11.4,3.7,4.7,513.4,318.9,2348.1,1350.8,1720.6,4512.4,1892,3898.8,3159.6,2998.4,1306.6,1597.4,1353.2,2115.8,1572.3,300.2,373.4,1208.3
"c4",506.7,1405.7,1419.6,24.2,6595,60.8,35.5,19719,599.4,5830.2,630.5,1646.7,17.4,47.4,4.1,4.8,35.3,8.1,7.3,23.3,41.6,3266.5,1504.3,1914.8,13088.6,8564,13684.9,335.1,1597.9,3378.2,519.3,1419.9,4677.2,313,862.6,220.1,4849.9,2798.9,263.8
"c5",644.9,1639.2,1188.8,111.9,12436.9,9.9,25.5,10315.6,649.2,4369.8,340.1,2494,22.1,19.5,50.5,9.1,5,91,43.3,4.9,178.2,2439.4,1534.7,2445.4,16540.5,10457.9,11390.6,439.1,1376.3,3997.6,378.2,1493.3,4082.2,627.9,1056.5,251,5485,5381.1,315.3
"c6",593.1,1287,2021.1,87.1,613.1,9.6,41.2,21029.2,853.1,9177.6,658.5,2025.7,113.5,35.4,36.5,31.7,68.5,2.5,9.1,6.6,31.9,2343.7,3467.3,926.7,14011.8,17580.2,9107.8,355.1,1608.6,3057.8,601.9,2423.3,6309,466.5,944.3,186.6,1274.2,997.6,328.6
"c7",353.7,2315.7,3232.7,77.2,9,10.1,20.5,19419.9,988.4,11127.4,1909.8,4337.2,71.2,120.1,38.2,17.2,15.9,164.1,11.9,9.3,8.6,2603.5,579.3,1178.3,8102.6,9172.5,7235,590.5,3407.1,2903,904.6,3460.7,4737.6,1854.4,1428.2,494.9,1036.2,610.2,232.5
"c8",615.3,1000.8,2589.6,144.3,318.7,70.6,94.2,29477.2,860.9,13497,987.1,3019.9,174.5,4.4,85.6,30,97.8,11.4,11.2,22.2,24.1,2364.8,2346.3,932.4,15074.1,15717.8,10504.6,468.1,1562.4,2348.5,451,4279.1,7964.3,651.9,1252.8,341.3,1919.5,1058.5,298.2
"c9",462.5,791.6,1749.5,39.3,2089.7,9.4,32.5,22280.9,663.3,6223.2,376.8,899.4,30.6,16,7.1,16.9,4,80.4,14.3,41.3,26.1,1603.7,1895.9,1426.1,15389.8,16353.2,10733,367.1,893.2,1941.8,255.2,1648.3,6623.8,524.8,904.9,73.1,3089.7,2742.6,354
"c10",586.2,1074.5,1648.6,38.2,721.6,62.1,98.6,12748.5,552.5,5443.6,243.7,1291.7,113.6,16.9,9.4,10,5.1,11,5,5.6,14.2,2188.2,5088.5,998.5,6130,13595.7,5599.2,323.1,867.5,2411.3,519,758.3,4922.8,383.8,658.9,58.6,834.2,943.6,421.3
